Plot Title: Hub B,,
#,"Date Time, GMT-08:00","Current, A (LGR S/N: 10459718, SEN S/N: 10282958, LBL: Test-Workstation-power-A)"
185,3/4/22 13:53:07,1.01918
186,3/4/22 13:53:08,0
187,3/4/22 13:53:09,0
188,3/4/22 13:53:10,0
189,3/4/22 13:53:11,0.99571
190,3/4/22 13:53:12,0
191,3/4/22 13:53:13,0.99759
192,3/4/22 13:53:14,0
193,3/4/22 13:53:15,0
194,3/4/22 13:53:16,0.9929
195,3/4/22 13:53:17,0
196,3/4/22 13:53:18,0
197,3/4/22 13:53:19,0
198,3/4/22 13:53:20,0.98633
199,3/4/22 13:53:21,0
200,3/4/22 13:53:22,0
201,3/4/22 13:53:23,0
202,3/4/22 13:53:24,0
203,3/4/22 13:53:25,0
204,3/4/22 13:53:26,0
205,3/4/22 13:53:27,0
206,3/4/22 13:53:28,0
207,3/4/22 13:53:29,1.02199
208,3/4/22 13:53:30,0
209,3/4/22 13:53:31,0
210,3/4/22 13:53:32,0
211,3/4/22 13:53:33,0.97037
212,3/4/22 13:53:34,0
213,3/4/22 13:53:35,0
214,3/4/22 13:53:36,0.97037
215,3/4/22 13:53:37,0
216,3/4/22 13:53:38,0
217,3/4/22 13:53:39,0
218,3/4/22 13:53:40,1.02199
219,3/4/22 13:53:41,0
220,3/4/22 13:53:42,0
221,3/4/22 13:53:43,0
222,3/4/22 13:53:44,0.96662
223,3/4/22 13:53:45,0
224,3/4/22 13:53:46,0
225,3/4/22 13:53:47,0
226,3/4/22 13:53:48,0
227,3/4/22 13:53:49,1.02481
228,3/4/22 13:53:50,0
229,3/4/22 13:53:51,0
230,3/4/22 13:53:52,0
231,3/4/22 13:53:53,0.96287
232,3/4/22 13:53:54,0
233,3/4/22 13:53:55,0
234,3/4/22 13:53:56,0.95911
235,3/4/22 13:53:57,0
236,3/4/22 13:53:58,0
237,3/4/22 13:53:59,0
238,3/4/22 13:54:00,0
239,3/4/22 13:54:01,0
240,3/4/22 13:54:02,0
241,3/4/22 13:54:03,1.02668
242,3/4/22 13:54:04,0
243,3/4/22 13:54:05,0
244,3/4/22 13:54:06,0.96099
245,3/4/22 13:54:07,0
246,3/4/22 13:54:08,0
247,3/4/22 13:54:09,0
248,3/4/22 13:54:10,0.95254
249,3/4/22 13:54:11,0
250,3/4/22 13:54:12,0
251,3/4/22 13:54:13,0
252,3/4/22 13:54:14,0.96381
253,3/4/22 13:54:15,0
254,3/4/22 13:54:16,0
255,3/4/22 13:54:17,0.96756
256,3/4/22 13:54:18,0
257,3/4/22 13:54:19,0
258,3/4/22 13:54:20,1.02105
259,3/4/22 13:54:21,0
260,3/4/22 13:54:22,0
261,3/4/22 13:54:23,0
262,3/4/22 13:54:24,0
263,3/4/22 13:54:25,0
264,3/4/22 13:54:26,0.97225
265,3/4/22 13:54:27,0.97225
266,3/4/22 13:54:28,0
267,3/4/22 13:54:29,0
