PCS,Baseline,Time,Power,Cycle
ElectricMPLow,TRUE,1/1/2000 0:08:29,0,5
ElectricMPLow,TRUE,1/1/2000 0:08:34,0,5
ElectricMPLow,TRUE,1/1/2000 0:08:39,0,5
ElectricMPLow,TRUE,1/1/2000 0:08:44,245,6
ElectricMPLow,TRUE,1/1/2000 0:08:49,2,6
ElectricMPLow,TRUE,1/1/2000 0:08:54,0,6
ElectricMPLow,TRUE,1/1/2000 0:08:59,0,6
ElectricMPLow,TRUE,1/1/2000 0:09:04,0,6
ElectricMPLow,TRUE,1/1/2000 0:09:09,0,6
ElectricMPLow,TRUE,1/1/2000 0:09:14,0,6
ElectricMPLow,TRUE,1/1/2000 0:09:19,0,6
ElectricMPLow,TRUE,1/1/2000 0:09:24,0,6
ElectricMPLow,TRUE,1/1/2000 0:09:29,0,6
ElectricMPLow,TRUE,1/1/2000 0:09:34,0,6
ElectricMPLow,TRUE,1/1/2000 0:09:39,0,6
ElectricMPLow,TRUE,1/1/2000 0:09:44,0,6
ElectricMPLow,TRUE,1/1/2000 0:09:49,0,6
ElectricMPLow,TRUE,1/1/2000 0:09:54,0,6
ElectricMPLow,TRUE,1/1/2000 0:09:59,0,6
ElectricMPLow,TRUE,1/1/2000 0:10:04,245,NA
ElectricMPLow,TRUE,1/1/2000 0:10:09,2,NA
ElectricMPLow,TRUE,1/1/2000 0:10:14,0,NA
