PCS,Baseline,Time,Power,Cycle
HeatedBlanket,FALSE,1/1/00 0:08:45,25,
HeatedBlanket,FALSE,1/1/00 0:08:50,0,
HeatedBlanket,FALSE,1/1/00 0:08:55,60.1,
HeatedBlanket,FALSE,1/1/00 0:09:00,0,
HeatedBlanket,FALSE,1/1/00 0:09:05,60.2,
HeatedBlanket,FALSE,1/1/00 0:09:10,28.1,
HeatedBlanket,FALSE,1/1/00 0:09:15,28.3,
HeatedBlanket,FALSE,1/1/00 0:09:20,60.3,
HeatedBlanket,FALSE,1/1/00 0:09:25,89.2,
HeatedBlanket,FALSE,1/1/00 0:09:30,30.2,
HeatedBlanket,FALSE,1/1/00 0:09:35,30,
HeatedBlanket,FALSE,1/1/00 0:09:40,59.7,
HeatedBlanket,FALSE,1/1/00 0:09:45,31,
HeatedBlanket,FALSE,1/1/00 0:09:50,0,
HeatedBlanket,FALSE,1/1/00 0:09:55,31.9,
HeatedBlanket,FALSE,1/1/00 0:10:00,32.6,
HeatedBlanket,FALSE,1/1/00 0:10:05,33.1,
HeatedBlanket,FALSE,1/1/00 0:10:10,60,
HeatedBlanket,FALSE,1/1/00 0:10:15,0,
HeatedBlanket,FALSE,1/1/00 0:10:20,85.4,
HeatedBlanket,FALSE,1/1/00 0:10:25,0,
HeatedBlanket,FALSE,1/1/00 0:10:30,84.6,
HeatedBlanket,FALSE,1/1/00 0:10:35,0,
HeatedBlanket,FALSE,1/1/00 0:10:40,60.1,
HeatedBlanket,FALSE,1/1/00 0:10:45,0,
HeatedBlanket,FALSE,1/1/00 0:10:50,97.4,
HeatedBlanket,FALSE,1/1/00 0:10:55,22.3,
HeatedBlanket,FALSE,1/1/00 0:11:00,82,
HeatedBlanket,FALSE,1/1/00 0:11:05,21.2,
HeatedBlanket,FALSE,1/1/00 0:11:10,39,
HeatedBlanket,FALSE,1/1/00 0:11:15,0,
HeatedBlanket,FALSE,1/1/00 0:11:20,40.4,
HeatedBlanket,FALSE,1/1/00 0:11:25,41,
HeatedBlanket,FALSE,1/1/00 0:11:30,1047,
HeatedBlanket,FALSE,1/1/00 0:11:35,19,
HeatedBlanket,FALSE,1/1/00 0:11:40,103,
HeatedBlanket,FALSE,1/1/00 0:11:45,16,
HeatedBlanket,FALSE,1/1/00 0:11:50,0,
HeatedBlanket,FALSE,1/1/00 0:11:55,14.6,
HeatedBlanket,FALSE,1/1/00 0:12:00,46.1,
HeatedBlanket,FALSE,1/1/00 0:12:05,47,
HeatedBlanket,FALSE,1/1/00 0:12:10,47.2,
HeatedBlanket,FALSE,1/1/00 0:12:15,60.3,
HeatedBlanket,FALSE,1/1/00 0:12:20,108.7,
HeatedBlanket,FALSE,1/1/00 0:12:25,11,
HeatedBlanket,FALSE,1/1/00 0:12:30,10.2,
HeatedBlanket,FALSE,1/1/00 0:12:35,9.6,
HeatedBlanket,FALSE,1/1/00 0:12:40,1137,
HeatedBlanket,FALSE,1/1/00 0:12:45,0,
HeatedBlanket,FALSE,1/1/00 0:12:50,51.5,
HeatedBlanket,FALSE,1/1/00 0:12:55,52.2,
HeatedBlanket,FALSE,1/1/00 0:13:00,62,
HeatedBlanket,FALSE,1/1/00 0:13:05,59.6,
HeatedBlanket,FALSE,1/1/00 0:13:10,1172,
HeatedBlanket,FALSE,1/1/00 0:13:15,7,
HeatedBlanket,FALSE,1/1/00 0:13:20,115.4,
HeatedBlanket,FALSE,1/1/00 0:13:25,0,
HeatedBlanket,FALSE,1/1/00 0:13:30,59.9,
HeatedBlanket,FALSE,1/1/00 0:13:35,58.1,
HeatedBlanket,FALSE,1/1/00 0:13:40,58.8,
HeatedBlanket,FALSE,1/1/00 0:13:45,59.9,
HeatedBlanket,FALSE,1/1/00 0:13:50,118.4,
HeatedBlanket,FALSE,1/1/00 0:13:55,58,
HeatedBlanket,FALSE,1/1/00 0:14:00,1216,
HeatedBlanket,FALSE,1/1/00 0:14:05,0,
HeatedBlanket,FALSE,1/1/00 0:14:10,59.7,
HeatedBlanket,FALSE,1/1/00 0:14:15,55.1,
HeatedBlanket,FALSE,1/1/00 0:14:20,64.6,
HeatedBlanket,FALSE,1/1/00 0:14:25,53.6,
HeatedBlanket,FALSE,1/1/00 0:14:30,7,
HeatedBlanket,FALSE,1/1/00 0:14:35,2,
HeatedBlanket,FALSE,1/1/00 0:14:40,59.5,
HeatedBlanket,FALSE,1/1/00 0:14:45,2,
HeatedBlanket,FALSE,1/1/00 0:14:50,69.6,
HeatedBlanket,FALSE,1/1/00 0:14:55,48.9,
HeatedBlanket,FALSE,1/1/00 0:15:00,11.3,
HeatedBlanket,FALSE,1/1/00 0:15:05,48,
HeatedBlanket,FALSE,1/1/00 0:15:10,12.9,
HeatedBlanket,FALSE,1/1/00 0:15:15,0,
HeatedBlanket,FALSE,1/1/00 0:15:20,14.1,
HeatedBlanket,FALSE,1/1/00 0:15:25,45.3,
HeatedBlanket,FALSE,1/1/00 0:15:30,0,
HeatedBlanket,FALSE,1/1/00 0:15:35,44,
HeatedBlanket,FALSE,1/1/00 0:15:40,0,
HeatedBlanket,FALSE,1/1/00 0:15:45,59.6,
HeatedBlanket,FALSE,1/1/00 0:15:50,28,
HeatedBlanket,FALSE,1/1/00 0:15:55,100.3,
HeatedBlanket,FALSE,1/1/00 0:16:00,0,
HeatedBlanket,FALSE,1/1/00 0:16:05,39.7,
HeatedBlanket,FALSE,1/1/00 0:16:10,0,
HeatedBlanket,FALSE,1/1/00 0:16:15,59.3,
HeatedBlanket,FALSE,1/1/00 0:16:20,22.6,
HeatedBlanket,FALSE,1/1/00 0:16:25,95.5,
HeatedBlanket,FALSE,1/1/00 0:16:30,0,
HeatedBlanket,FALSE,1/1/00 0:16:35,94.5,
HeatedBlanket,FALSE,1/1/00 0:16:40,0,
HeatedBlanket,FALSE,1/1/00 0:16:45,33.5,
HeatedBlanket,FALSE,1/1/00 0:16:50,0,
HeatedBlanket,FALSE,1/1/00 0:16:55,87,
HeatedBlanket,FALSE,1/1/00 0:17:00,0,
HeatedBlanket,FALSE,1/1/00 0:17:05,88.3,
HeatedBlanket,FALSE,1/1/00 0:17:10,29.7,
HeatedBlanket,FALSE,1/1/00 0:17:15,8.6,
HeatedBlanket,FALSE,1/1/00 0:17:20,0,
HeatedBlanket,FALSE,1/1/00 0:17:25,32,
HeatedBlanket,FALSE,1/1/00 0:17:30,0,
HeatedBlanket,FALSE,1/1/00 0:17:35,92.9,
HeatedBlanket,FALSE,1/1/00 0:17:40,0,
HeatedBlanket,FALSE,1/1/00 0:17:45,83.7,
HeatedBlanket,FALSE,1/1/00 0:17:50,0,
HeatedBlanket,FALSE,1/1/00 0:17:55,35.8,
HeatedBlanket,FALSE,1/1/00 0:18:00,36.8,
HeatedBlanket,FALSE,1/1/00 0:18:05,36.9,
HeatedBlanket,FALSE,1/1/00 0:18:10,59.9,
HeatedBlanket,FALSE,1/1/00 0:18:15,97.3,
HeatedBlanket,FALSE,1/1/00 0:18:20,21.1,
HeatedBlanket,FALSE,1/1/00 0:18:25,0,
HeatedBlanket,FALSE,1/1/00 0:18:30,0,
HeatedBlanket,FALSE,1/1/00 0:18:35,41.1,
HeatedBlanket,FALSE,1/1/00 0:18:40,77.5,
HeatedBlanket,FALSE,1/1/00 0:18:45,60,
HeatedBlanket,FALSE,1/1/00 0:18:50,16.2,
HeatedBlanket,FALSE,1/1/00 0:18:55,45,
HeatedBlanket,FALSE,1/1/00 0:19:00,16,
HeatedBlanket,FALSE,1/1/00 0:19:05,46.5,
HeatedBlanket,FALSE,1/1/00 0:19:10,72,
HeatedBlanket,FALSE,1/1/00 0:19:15,107.5,
HeatedBlanket,FALSE,1/1/00 0:19:20,10.8,
HeatedBlanket,FALSE,1/1/00 0:19:25,0,
HeatedBlanket,FALSE,1/1/00 0:19:30,0,
HeatedBlanket,FALSE,1/1/00 0:19:35,51.3,
HeatedBlanket,FALSE,1/1/00 0:19:40,0,
HeatedBlanket,FALSE,1/1/00 0:19:45,60,
HeatedBlanket,FALSE,1/1/00 0:19:50,8,
HeatedBlanket,FALSE,1/1/00 0:19:55,59.8,
HeatedBlanket,FALSE,1/1/00 0:20:00,6,
HeatedBlanket,FALSE,1/1/00 0:20:05,56.3,
HeatedBlanket,FALSE,1/1/00 0:20:10,0,
HeatedBlanket,FALSE,1/1/00 0:20:15,117.7,
HeatedBlanket,FALSE,1/1/00 0:20:20,0,
HeatedBlanket,FALSE,1/1/00 0:20:25,1237,
HeatedBlanket,FALSE,1/1/00 0:20:30,0,
HeatedBlanket,FALSE,1/1/00 0:20:35,61.6,
HeatedBlanket,FALSE,1/1/00 0:20:40,0,
HeatedBlanket,FALSE,1/1/00 0:20:45,3.8,
HeatedBlanket,FALSE,1/1/00 0:20:50,4.4,
HeatedBlanket,FALSE,1/1/00 0:20:55,114,
HeatedBlanket,FALSE,1/1/00 0:21:00,0,
HeatedBlanket,FALSE,1/1/00 0:21:05,0,
HeatedBlanket,FALSE,1/1/00 0:21:10,0,
HeatedBlanket,FALSE,1/1/00 0:21:15,2,
