Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/01  16:00:00,14.75,23.56129030861139,17.901484426193353,5326762.77160798,3436226.8211706067,3436226.8211706067,3436226.8211706067,154285.71428571438,1729288.2969848237 
 02/01  17:00:00,14.358333333333334,23.2172600095306,15.677257758004833,4538171.723939787,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,0.0 
 02/01  18:00:00,12.033333333333333,22.789523948399477,13.025650864006671,7458612.659301592,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,1768556.6930406063 
 02/01  19:00:00,10.291666666666666,22.370111088807917,10.49677595581408,8102333.067541895,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1795452.3160127702 
 02/01  20:00:00,9.65,22.192528495757966,10.455776038721575,9058864.247854438,5860851.394397255,5860851.394397255,5860851.394397255,1176960.113225032,1801792.6451520808 
 02/01  21:00:00,8.816666666666666,22.20166912021349,9.69051827821612,10178913.335539382,5788324.826793473,5788324.826793473,5788324.826793473,2384347.7966438443,1786980.6170219942 
 02/01  22:00:00,8.691666666666666,22.22245750236813,10.426521970352372,10676281.401570113,5275040.848512863,5275040.848512863,5275040.848512863,3422857.5429877676,1766717.7577168734 
 02/01  23:00:00,7.033333333333335,22.22241758104639,10.593542420247191,11485368.035450146,4175767.1653783405,4175767.1653783405,4175767.1653783405,5375515.21062196,1732863.3158474874 
 02/01  24:00:00,6.633333333333333,22.222368132647357,9.914836733904094,10443659.436375767,3228431.3064444675,3228431.3064444675,3228431.3064444675,7021771.026168877,0.0 
 02/02  01:00:00,6.658333333333334,22.22268717253588,10.459158056756179,12401541.164131317,2498479.0097388276,2498479.0097388276,2498479.0097388276,8046447.038846356,1666371.2144760955 
 02/02  02:00:00,6.2,22.223028901607638,10.357699743879543,11461127.523924123,2287908.203727021,2287908.203727021,2287908.203727021,8982975.419127064,0.0 
 02/02  03:00:00,5.1499999999999995,22.223158440432673,8.994935345846416,12694320.69374377,2218387.455766968,2218387.455766968,2218387.455766968,10285689.336906763,0.0 
 02/02  04:00:00,5.158333333333334,22.22273170745483,9.240180696770894,12786963.55964744,2167160.80380385,2167160.80380385,2167160.80380385,10429558.854773553,0.0 
 02/02  05:00:00,5.991666666666667,22.22260275624328,8.939480228650089,13045864.417751474,2326991.86639299,2326991.86639299,2326991.86639299,10524344.380031934,0.0 
 02/02  06:00:00,5.5,22.222388383413062,8.358667201726456,15744235.474490672,2888368.680950925,2888368.680950925,2888368.680950925,10949507.665485641,1704869.017560718 
 02/02  07:00:00,5.408333333333334,22.222405267658072,7.814454149023146,15933981.46096592,3455726.295687276,3455726.295687276,3455726.295687276,10666022.663647298,1797237.555733549 
 02/02  08:00:00,4.941666666666666,22.222474354901106,7.7062362274276905,12598388.477585904,3804342.957438114,3804342.957438114,3804342.957438114,6943978.567214638,1836678.6083815433 
 02/02  09:00:00,6.733333333333333,22.22239406102644,11.319928640466612,8956066.426681299,3331560.1762823085,3331560.1762823085,3331560.1762823085,3772926.8651470076,1845688.5136492741 
 02/02  10:00:00,9.333333333333334,22.215709629519605,13.979354408757596,8910084.513496071,3145052.4172653225,3145052.4172653225,3145052.4172653225,2098182.6347526317,3662832.958112634 
