Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/01  04:00:00,16014341.502978392,2167160.80380385,2167160.80380385,2167160.80380385,13656936.798104504,0.0 
 02/01  05:00:00,17225459.14131002,2326991.86639299,2326991.86639299,2326991.86639299,14703939.103590477,0.0 
 02/01  06:00:00,19871883.970195673,2888368.680950925,2888368.680950925,2888368.680950925,15076920.994203966,1705104.1845473927 
 02/01  07:00:00,20493787.157755796,3455726.295687276,3455726.295687276,3455726.295687276,15226277.988633983,1796787.927536733 
 02/01  08:00:00,12488724.600735543,3804342.957438114,3804342.957438114,3804342.957438114,6834316.218202396,1836677.0805434277 
 02/01  09:00:00,11808903.768853443,3331560.1762823085,3331560.1762823085,3331560.1762823085,5848479.944036655,2622972.7769317715 
 02/01  10:00:00,10350806.405342469,3145052.4172653225,3145052.4172653225,3145052.4172653225,4310148.688967267,2891588.7957443977 
 02/01  11:00:00,6796863.114949983,3201316.809840188,3201316.809840188,3201316.809840188,1786121.1279020184,1805408.6738422934 
 02/01  12:00:00,5334213.877690647,3245056.7517732778,3245056.7517732778,3245056.7517732778,306019.6891586396,1779120.9333932465 
 02/01  13:00:00,4759048.916244803,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1403457.2999306738 
 02/01  14:00:00,3654460.9738734695,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,352614.7399376656 
 02/01  15:00:00,5045345.526720776,3152610.4832543777,3152610.4832543777,3152610.4832543777,154285.71428571438,1734432.8258152017 
 02/01  16:00:00,5326762.77160798,3436226.8211706067,3436226.8211706067,3436226.8211706067,154285.71428571438,1729288.2969848237 
 02/01  17:00:00,4538171.723939787,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,0.0 
 02/01  18:00:00,7458612.659301592,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,1768556.6930406063 
 02/01  19:00:00,8102333.067541895,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1795452.3160127702 
 02/01  20:00:00,9058864.247854438,5860851.394397255,5860851.394397255,5860851.394397255,1176960.113225032,1801792.6451520808 
 02/01  21:00:00,10178913.335539382,5788324.826793473,5788324.826793473,5788324.826793473,2384347.7966438443,1786980.6170219942 
 02/01  22:00:00,10676281.401570113,5275040.848512863,5275040.848512863,5275040.848512863,3422857.5429877676,1766717.7577168734 
 02/01  23:00:00,11485368.035450146,4175767.1653783405,4175767.1653783405,4175767.1653783405,5375515.21062196,1732863.3158474874 
 02/01  24:00:00,10443659.436375767,3228431.3064444675,3228431.3064444675,3228431.3064444675,7021771.026168877,0.0 
 02/02  01:00:00,12401541.164131317,2498479.0097388276,2498479.0097388276,2498479.0097388276,8046447.038846356,1666371.2144760955 
 02/02  02:00:00,11461127.523924123,2287908.203727021,2287908.203727021,2287908.203727021,8982975.419127064,0.0 
 02/02  03:00:00,12694320.69374377,2218387.455766968,2218387.455766968,2218387.455766968,10285689.336906763,0.0 
 02/02  04:00:00,12786963.55964744,2167160.80380385,2167160.80380385,2167160.80380385,10429558.854773553,0.0 
 02/02  05:00:00,13045864.417751474,2326991.86639299,2326991.86639299,2326991.86639299,10524344.380031934,0.0 
 02/02  06:00:00,15744235.474490672,2888368.680950925,2888368.680950925,2888368.680950925,10949507.665485641,1704869.017560718 
 02/02  07:00:00,15933981.46096592,3455726.295687276,3455726.295687276,3455726.295687276,10666022.663647298,1797237.555733549 
 02/02  08:00:00,12598388.477585904,3804342.957438114,3804342.957438114,3804342.957438114,6943978.567214638,1836678.6083815433 
 02/02  09:00:00,8956066.426681299,3331560.1762823085,3331560.1762823085,3331560.1762823085,3772926.8651470076,1845688.5136492741 
 02/02  10:00:00,8910084.513496071,3145052.4172653225,3145052.4172653225,3145052.4172653225,2098182.6347526317,3662832.958112634 
 02/02  11:00:00,5293395.653177147,3201316.809840188,3201316.809840188,3201316.809840188,282789.0831690321,1805273.2568024446 
 02/02  12:00:00,5182307.564447499,3245056.7517732778,3245056.7517732778,3245056.7517732778,154285.71428571438,1778948.5950230244 
 02/02  13:00:00,3355591.616314129,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,0.0 
 02/02  14:00:00,5047555.870462636,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,1745709.6365268333 
 02/02  15:00:00,5108787.495601077,3152610.4832543777,3152610.4832543777,3152610.4832543777,217978.15475862374,1734182.3542225936 
 02/02  16:00:00,5376314.110890258,3436226.8211706067,3436226.8211706067,3436226.8211706067,203937.6257956182,1729187.7247571966 
 02/02  17:00:00,4540796.061165867,4368891.063756271,4368891.063756271,4368891.063756271,156910.05151179485,0.0 
 02/02  18:00:00,7458044.865750922,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,1767988.899489936 
 02/02  19:00:00,8101856.534876019,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1794975.7833468937 
 02/02  20:00:00,8035829.238329809,5860851.394397255,5860851.394397255,5860851.394397255,154285.71428571438,1801432.0345667703 
 02/02  21:00:00,8649406.66225046,5788324.826793473,5788324.826793473,5788324.826793473,854643.4510926958,1787178.289284221 
 02/02  22:00:00,9896910.36917829,5275040.848512863,5275040.848512863,5275040.848512863,2643466.2947605923,1766737.9735522221 
 02/02  23:00:00,10222793.682246875,4175767.1653783405,4175767.1653783405,4175767.1653783405,4112951.382678795,1732852.7905873829 
 02/02  24:00:00,9242866.70870135,3228431.3064444675,3228431.3064444675,3228431.3064444675,5820978.298494458,0.0 
 02/03  01:00:00,11913242.097917357,2498479.0097388276,2498479.0097388276,2498479.0097388276,7557821.825187846,1666697.3619206464 
 02/03  02:00:00,11204569.303555865,2287908.203727021,2287908.203727021,2287908.203727021,8726417.198758807,0.0 
 02/03  03:00:00,12035606.830803247,2218387.455766968,2218387.455766968,2218387.455766968,9626975.47396624,0.0 
 02/03  04:00:00,12854884.196952429,2167160.80380385,2167160.80380385,2167160.80380385,10497479.49207854,0.0 
 02/03  05:00:00,13530588.935560156,2326991.86639299,2326991.86639299,2326991.86639299,11009068.897840612,0.0 
 02/03  06:00:00,16270591.840663897,2888368.680950925,2888368.680950925,2888368.680950925,11475528.158649404,1705204.8905701798 
 02/03  07:00:00,16781236.46025793,3455726.295687276,3455726.295687276,3455726.295687276,11513187.313202232,1797327.9054706218 
 02/03  08:00:00,14880320.08455617,3804342.957438114,3804342.957438114,3804342.957438114,9225739.743841212,1836849.038725235 
 02/03  09:00:00,9851350.413302653,3331560.1762823085,3331560.1762823085,3331560.1762823085,4668141.285579393,1845758.0798382452 
 02/03  10:00:00,7863261.988532741,3145052.4172653225,3145052.4172653225,3145052.4172653225,2521984.6432497427,2192208.424652193 
 02/03  11:00:00,6635406.990862378,3201316.809840188,3201316.809840188,3201316.809840188,290721.78340267355,3139351.8942540344 
 02/03  12:00:00,3889039.4684039825,3245056.7517732778,3245056.7517732778,3245056.7517732778,154285.71428571438,485680.49897950835 
 02/03  13:00:00,4746320.631143582,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1390729.014829453 
 02/03  14:00:00,5218659.40981405,3143544.016284607,3143544.016284607,3143544.016284607,325608.4248273927,1745490.4653365684 
 02/03  15:00:00,5659498.336108948,3152610.4832543777,3152610.4832543777,3152610.4832543777,768499.5741292877,1734371.7753598006 
 02/03  16:00:00,4233528.952452829,3436226.8211706067,3436226.8211706067,3436226.8211706067,790340.1921153867,0.0 
 02/03  17:00:00,6685063.216591314,4368891.063756271,4368891.063756271,4368891.063756271,557270.0048701696,1743907.2020670716 
 02/03  18:00:00,7710451.126985577,5514884.4344747625,5514884.4344747625,5514884.4344747625,406581.366694586,1768099.508315719 
 02/03  19:00:00,8337541.124509769,5936377.747743254,5936377.747743254,5936377.747743254,390073.14624964795,1794872.9410167076 
 02/03  20:00:00,8117662.6344346395,5860851.394397255,5860851.394397255,5860851.394397255,236376.18561078928,1801174.9593465256 
 02/03  21:00:00,7948422.928024027,5788324.826793473,5788324.826793473,5788324.826793473,154285.71428571438,1786552.291864769 
 02/03  22:00:00,7407396.324218541,5275040.848512863,5275040.848512863,5275040.848512863,154285.71428571438,1766404.509067353 
 02/03  23:00:00,6263898.363219355,4175767.1653783405,4175767.1653783405,4175767.1653783405,154285.71428571438,1732623.139952943 
 02/03  24:00:00,4236807.781950718,3228431.3064444675,3228431.3064444675,3228431.3064444675,814919.3717438264,0.0 
