Block,Random.Number,Chamber.SetPoint,Clothing,Bedding,Posture,Emergency.Blanket,Bed.Type,PCS,Repetition,Reference,Baseline,Repeated.2,Repeated.3,Skip,Notes,Start.Time,End.Time,Comments,IR.Image
11,,28,Nude,None,Starfish,FALSE,Mattress,PedestalFanLow,2,FALSE,FALSE,TRUE,FALSE,FALSE,,4/13/2022 16:35,4/14/2022 13:44,,
11,,28,Light,Light,Log,FALSE,Mattress,PedestalFanLow,2,FALSE,FALSE,TRUE,FALSE,FALSE,,4/16/2022 11:13,4/16/2022 11:52,,
11,,28,Light,Light,Log,FALSE,Mattress,PedestalFanHigh,3,FALSE,FALSE,TRUE,TRUE,FALSE,,4/16/2022 11:55,4/16/2022 12:38,,
11,,28,Light,Light,Log,FALSE,Mattress,CeilingFanLow,5,FALSE,FALSE,TRUE,TRUE,FALSE,,4/16/2022 12:40,4/16/2022 13:20,,
11,,28,Light,Light,Log,FALSE,Mattress,CeilingFanHigh,5,FALSE,FALSE,TRUE,TRUE,FALSE,,4/16/2022 14:06,4/16/2022 14:37,,
11,,28,Nude,None,Starfish,FALSE,Mattress,CeilingFanHigh,3,FALSE,FALSE,TRUE,TRUE,FALSE,,4/16/2022 14:41,4/16/2022 15:22,,
11,,28,Nude,None,Starfish,FALSE,Mattress,CeilingFanLow,3,FALSE,FALSE,TRUE,TRUE,FALSE,,4/16/2022 15:22,4/16/2022 15:52,,
11,,28,Light,Light,Log,FALSE,Mattress,HydropoweredMP,4,FALSE,FALSE,TRUE,TRUE,FALSE,,4/16/2022 17:01,4/17/2022 0:32,,
12,,16,Light,Light,Log,FALSE,Mattress,HydropoweredMP,3,FALSE,FALSE,TRUE,TRUE,FALSE,,4/17/2022 13:30,4/17/2022 18:00,,
12,,16,Light,Light,Log,FALSE,Mattress,HWBottleFeet,2,FALSE,FALSE,TRUE,FALSE,FALSE,,4/17/2022 18:18,4/17/2022 18:48,4/17/2022 19:00,
12,,16,Light,Light,Log,FALSE,Mattress,HWBottlePelvis,2,FALSE,FALSE,TRUE,FALSE,FALSE,,4/17/2022 19:11,4/17/2022 19:41,4/17/2022 20:03,
12,,16,Light,Light,Log,FALSE,Mattress,HeatedBlanketOff,1,FALSE,FALSE,FALSE,FALSE,FALSE,,4/17/2022 20:06,4/17/2022 20:47,,
12,,16,Heavy,Heavy,Fetal,TRUE,Mattress,HWBottleFeet,2,FALSE,FALSE,TRUE,FALSE,FALSE,,4/17/2022 20:57,4/17/2022 21:27,4/17/2022 21:38,
12,,16,Heavy,Heavy,Fetal,TRUE,Mattress,HWBottlePelvis,2,FALSE,FALSE,TRUE,FALSE,FALSE,,4/17/2022 21:44,4/17/2022 21:44,4/17/2022 22:14,
12,,16,Heavy,Heavy,Fetal,TRUE,Mattress,HeatedBlanketOff,1,FALSE,FALSE,FALSE,FALSE,FALSE,,4/17/2022 22:27,4/18/2022 9:00,,
