Time,Unit,Value
11/26/2021 9:58,C,18.299
11/26/2021 10:03,C,18.361
11/26/2021 10:08,C,18.299
11/26/2021 10:13,C,18.299
11/26/2021 10:18,C,18.361
11/26/2021 10:23,C,18.299
11/26/2021 10:28,C,18.299
11/26/2021 10:33,C,18.361
11/26/2021 10:38,C,18.299
11/26/2021 10:43,C,18.236
11/26/2021 10:48,C,18.299
11/26/2021 10:53,C,18.299
11/26/2021 10:58,C,18.299
11/26/2021 11:03,C,18.299
11/26/2021 11:08,C,18.299
11/26/2021 11:13,C,18.299
11/26/2021 11:18,C,18.361
11/26/2021 11:23,C,18.361
11/26/2021 11:28,C,18.361
11/26/2021 11:33,C,18.487
11/26/2021 11:38,C,18.549
11/26/2021 11:43,C,18.549
11/26/2021 11:48,C,18.612
11/26/2021 11:53,C,18.612
11/26/2021 11:58,C,18.612
11/26/2021 12:03,C,18.674
11/26/2021 12:08,C,18.674
11/26/2021 12:13,C,18.612
11/26/2021 12:18,C,18.674
11/26/2021 12:23,C,18.674
11/26/2021 12:28,C,18.674
11/26/2021 12:33,C,18.549
11/26/2021 12:38,C,18.549
11/26/2021 12:43,C,18.612
11/26/2021 12:48,C,18.612
11/26/2021 12:53,C,18.674
11/26/2021 12:58,C,18.674
11/26/2021 13:03,C,18.737
11/26/2021 13:08,C,18.737
11/26/2021 13:13,C,18.799
11/26/2021 13:18,C,18.737
11/26/2021 13:23,C,18.737
11/26/2021 13:28,C,18.799
11/26/2021 13:33,C,18.799
11/26/2021 13:38,C,18.737
11/26/2021 13:43,C,18.799
11/26/2021 13:48,C,18.799
11/26/2021 13:53,C,18.799
11/26/2021 13:58,C,18.799
11/26/2021 14:03,C,18.799
11/26/2021 14:08,C,18.799
11/26/2021 14:13,C,18.862
11/26/2021 14:18,C,18.862
11/26/2021 14:23,C,18.799
11/26/2021 14:28,C,18.862
11/26/2021 14:33,C,18.862
11/26/2021 14:38,C,18.799
11/26/2021 14:43,C,18.862
11/26/2021 14:48,C,18.862
11/26/2021 14:53,C,18.925
11/26/2021 14:58,C,18.925
11/26/2021 15:03,C,18.925
11/26/2021 15:08,C,18.925
11/26/2021 15:13,C,18.925
11/26/2021 15:18,C,18.925
11/26/2021 15:23,C,18.925
11/26/2021 15:28,C,18.862
11/26/2021 15:33,C,18.925
11/26/2021 15:38,C,18.925
11/26/2021 15:43,C,18.925
11/26/2021 15:48,C,18.925
11/26/2021 15:53,C,18.925
11/26/2021 15:58,C,18.925
11/26/2021 16:03,C,18.799
11/26/2021 16:08,C,18.862
11/26/2021 16:13,C,18.862
11/26/2021 16:18,C,18.862
11/26/2021 16:23,C,18.799
11/26/2021 16:28,C,18.737
11/26/2021 16:33,C,18.737
11/26/2021 16:38,C,18.737
11/26/2021 16:43,C,18.674
11/26/2021 16:48,C,18.612
11/26/2021 16:53,C,18.549
11/26/2021 16:58,C,18.549
11/26/2021 17:03,C,18.549
11/26/2021 17:08,C,18.424
11/26/2021 17:13,C,18.487
11/26/2021 17:18,C,18.424
11/26/2021 17:23,C,18.424
11/26/2021 17:28,C,18.424
11/26/2021 17:33,C,18.424
11/26/2021 17:38,C,18.487
11/26/2021 17:43,C,18.424
11/26/2021 17:48,C,18.361
11/26/2021 17:53,C,18.487
11/26/2021 17:58,C,18.424
11/26/2021 18:03,C,18.361
11/26/2021 18:08,C,18.424
11/26/2021 18:13,C,18.424
11/26/2021 18:18,C,18.299
11/26/2021 18:23,C,18.361
11/26/2021 18:28,C,18.487
11/26/2021 18:33,C,18.487
11/26/2021 18:38,C,18.487
11/26/2021 18:43,C,18.612
11/26/2021 18:48,C,18.612
11/26/2021 18:53,C,18.674
11/26/2021 18:58,C,18.737
11/26/2021 19:03,C,18.612
11/26/2021 19:08,C,18.674
11/26/2021 19:13,C,18.737
11/26/2021 19:18,C,18.674
11/26/2021 19:23,C,18.612
11/26/2021 19:28,C,18.674
11/26/2021 19:33,C,18.674
11/26/2021 19:38,C,18.612
11/26/2021 19:43,C,18.549
11/26/2021 19:48,C,18.674
11/26/2021 19:53,C,18.674
