Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 08/21  23:00:00,30.07083333333333,23.888640527372697,29.089257942764856,10477219.19865609,4262786.538241955,4262786.538241955,4262786.538241955,4321085.839846869,1692124.4769649068 
 08/21  24:00:00,29.30083333333333,23.888452203596056,28.4000419468944,7121458.722865741,3276627.552965166,3276627.552965166,3276627.552965166,3651374.06613815,0.0 
 02/01  01:00:00,5.316666666666666,22.22232382980556,8.025038546163914,12011415.910096336,2498479.0097388276,2498479.0097388276,2498479.0097388276,9322692.99928747,0.0 
 02/01  02:00:00,3.608333333333333,22.22241861230893,6.143008900362666,14294097.062897488,2287908.203727021,2287908.203727021,2287908.203727021,11815944.958100433,0.0 
 02/01  03:00:00,3.4,22.222428956450063,5.586101260472833,15180669.399866376,2218387.455766968,2218387.455766968,2218387.455766968,12772038.043029372,0.0 
 02/01  04:00:00,3.4,22.222415281661995,5.385565097621893,16014341.455491778,2167160.80380385,2167160.80380385,2167160.80380385,13656936.750617892,0.0 
 02/01  05:00:00,3.108333333333333,22.222407199477242,4.925948620540044,17225459.089776445,2326991.86639299,2326991.86639299,2326991.86639299,14703939.052056901,0.0 
 02/01  06:00:00,2.5500000000000003,22.222411797389857,4.411461573509851,19871883.915931966,2888368.680950925,2888368.680950925,2888368.680950925,15076920.939940244,1705104.1845474092 
 02/01  07:00:00,2.0083333333333333,22.222413493807803,4.043815560173499,20493787.101879492,3455726.295687276,3455726.295687276,3455726.295687276,15226277.932757726,1796787.9275366901 
 02/01  08:00:00,1.8,22.250867359592167,3.5725497572370215,12488724.576258164,3804342.957438114,3804342.957438114,3804342.957438114,6834316.193725087,1836677.0805433535 
