Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/25  10:00:00,5132947.217034414,3145052.4172653225,3145052.4172653225,3145052.4172653225,154285.71428571438,1829592.5821178956 
 02/25  11:00:00,5163726.193116157,3201316.809840188,3201316.809840188,3201316.809840188,154285.71428571438,1804107.165624773 
 02/25  12:00:00,5181438.023176622,3245056.7517732778,3245056.7517732778,3245056.7517732778,154285.71428571438,1778079.0537521464 
 02/25  13:00:00,5113554.834123933,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1757963.217809804 
 02/25  14:00:00,5047228.785012218,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,1745382.5510764155 
 02/25  15:00:00,3310912.7009055745,3152610.4832543777,3152610.4832543777,3152610.4832543777,154285.71428571438,0.0 
 02/25  16:00:00,5326865.703069123,3436226.8211706067,3436226.8211706067,3436226.8211706067,154285.71428571438,1729391.2284459667 
 02/25  17:00:00,6282333.601170834,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,1744161.8772310475 
 02/25  18:00:00,7457797.184005006,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,1767741.217744021 
 02/25  19:00:00,8100826.785859388,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1793946.0343302619 
 02/25  20:00:00,8034874.322180894,5860851.394397255,5860851.394397255,5860851.394397255,154285.71428571438,1800477.1184178556 
 02/25  21:00:00,7948015.4689969765,5788324.826793473,5788324.826793473,5788324.826793473,154285.71428571438,1786144.8328377192 
 02/25  22:00:00,7407485.026796639,5275040.848512863,5275040.848512863,5275040.848512863,154285.71428571438,1766493.2116454514 
 02/25  23:00:00,4531275.2232664125,4175767.1653783405,4175767.1653783405,4175767.1653783405,154285.71428571438,0.0 
 02/25  24:00:00,5275058.8803959,3228431.3064444675,3228431.3064444675,3228431.3064444675,154285.71428571438,1698884.7559032938 
 02/26  01:00:00,2843008.62509458,2498479.0097388276,2498479.0097388276,2498479.0097388276,154285.71428571438,0.0 
 02/26  02:00:00,2632437.8190827733,2287908.203727021,2287908.203727021,2287908.203727021,154285.71428571438,0.0 
 02/26  03:00:00,2562917.0711227204,2218387.455766968,2218387.455766968,2218387.455766968,154285.71428571438,0.0 
 02/26  04:00:00,4163004.0558483764,2167160.80380385,2167160.80380385,2167160.80380385,154285.71428571438,1651313.6366887745 
