Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/01  01:00:00,16663711.824483577,2498479.0097388276,2498479.0097388276,2498479.0097388276,13974988.913674712,0.0 
 02/01  02:00:00,15541665.498123404,2287908.203727021,2287908.203727021,2287908.203727021,13063513.393326344,0.0 
 02/01  03:00:00,16115176.454486404,2218387.455766968,2218387.455766968,2218387.455766968,13706545.097649397,0.0 
 02/01  04:00:00,17284766.025103275,2167160.80380385,2167160.80380385,2167160.80380385,14927361.320229385,0.0 
 02/01  05:00:00,19491034.46896716,2326991.86639299,2326991.86639299,2326991.86639299,16969514.431247618,0.0 
 02/01  06:00:00,22281187.401683442,2888368.680950925,2888368.680950925,2888368.680950925,17486205.200565785,1705123.4096733455 
 02/01  07:00:00,22141459.06699987,3455726.295687276,3455726.295687276,3455726.295687276,16873918.117089055,1796819.7083257409 
 02/01  08:00:00,21504703.713410504,3804342.957438114,3804342.957438114,3804342.957438114,15849907.033551782,1837065.3778689974 
 02/01  09:00:00,19930170.607294284,3331560.1762823085,3331560.1762823085,3331560.1762823085,13959211.014025576,2633508.5453836937 
 02/01  10:00:00,18130861.05015474,3145052.4172653225,3145052.4172653225,3145052.4172653225,12100859.627464164,2880932.502059776 
