Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/14  23:00:00,5.0,22.22254342049908,7.249546895394579,11909234.275785519,4262786.538241955,4262786.538241955,4262786.538241955,5707588.891671485,1737636.50226972 
 02/14  24:00:00,4.3583333333333325,22.222489896200273,7.045768083294124,11374687.065563206,3276627.552965166,3276627.552965166,3276627.552965166,7904602.408835616,0.0 
 02/15  01:00:00,4.191666666666666,22.22243525240425,7.562576614603291,13506454.185831565,2498479.0097388276,2498479.0097388276,2498479.0097388276,9151218.463068798,1666512.8119539018 
 02/15  02:00:00,3.7583333333333333,22.22236031438939,7.173582009861267,13011708.704309173,2287908.203727021,2287908.203727021,2287908.203727021,10533556.599512113,0.0 
 02/15  03:00:00,3.008333333333333,22.22243044983817,5.9352870048086315,14446129.161083728,2218387.455766968,2218387.455766968,2218387.455766968,12037497.804246722,0.0 
 02/15  04:00:00,3.0916666666666663,22.222378302663383,6.383228239164635,14786648.259440508,2167160.80380385,2167160.80380385,2167160.80380385,12429243.55456662,0.0 
 02/15  05:00:00,2.658333333333333,22.22234764309371,6.158554417947111,15487255.44729823,2326991.86639299,2326991.86639299,2326991.86639299,12965735.409578688,0.0 
 02/15  06:00:00,2.1999999999999997,22.222400803595956,5.928272531604972,18054796.64584547,2888368.680950925,2888368.680950925,2888368.680950925,13260198.5818339,1704739.2725672573 
 02/15  07:00:00,2.1999999999999997,22.222371129133396,5.327971702425111,18621162.004129738,3455726.295687276,3455726.295687276,3455726.295687276,13354505.922607481,1795934.8399371766 
 02/15  08:00:00,2.5500000000000003,22.222441936047755,4.906070306405412,18312178.544837397,3804342.957438114,3804342.957438114,3804342.957438114,12659101.16523411,1835346.0776135642 
 02/15  09:00:00,4.7250000000000005,22.222365338865032,7.576473070266382,14584809.773734488,3331560.1762823085,3331560.1762823085,3331560.1762823085,9403074.109624779,1844284.6162246957 
 02/15  10:00:00,8.025,22.222537971382362,11.135019840572573,13205723.874531705,3145052.4172653225,3145052.4172653225,3145052.4172653225,6396569.063106746,3660085.8907941533 
 02/15  11:00:00,11.383333333333333,22.22281164202491,14.071313106327251,8753077.632839527,3201316.809840188,3201316.809840188,3201316.809840188,3743558.710479004,1804185.6091548535 
 02/15  12:00:00,14.083333333333334,22.209862600176933,16.712153576074765,6155756.051525066,3245056.7517732778,3245056.7517732778,3245056.7517732778,1128488.592745602,1778194.203640703 
 02/15  13:00:00,15.991666666666667,22.36477470879315,19.128384373041396,3355591.616314129,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,0.0 
 02/15  14:00:00,16.991666666666667,23.084040626528434,21.25727719282522,5046968.688070771,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,1745122.454134968 
 02/15  15:00:00,17.55,23.806199775926586,21.038234506155103,5212933.928876829,3152610.4832543777,3152610.4832543777,3152610.4832543777,322857.6495094452,1733449.2927475243 
 02/15  16:00:00,17.8,23.890413140318348,20.148575195089332,5374935.593177664,3436226.8211706067,3436226.8211706067,3436226.8211706067,792766.3375287761,1138980.4953114453 
 02/15  17:00:00,17.45,23.891258415381913,19.383807130951258,5981776.125253182,4368891.063756271,4368891.063756271,4368891.063756271,1003503.9385127386,594386.1770863717 
 02/15  18:00:00,15.916666666666666,23.88888276686097,17.259942544245646,8006902.169605402,5514884.4344747625,5514884.4344747625,5514884.4344747625,703957.4358280747,1767174.481802058 
