Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:10:00,3.497401E-01,1.072795E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.095210E+02,1.562205E-01,2.033427E+03,2.763347E+03
00:20:00,3.512616E-01,1.077043E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.132147E+02,1.515577E-01,1.974034E+03,2.697441E+03
00:30:00,3.527512E-01,1.081202E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.169084E+02,1.470310E-01,1.916269E+03,2.633142E+03
00:40:00,3.542166E-01,1.085293E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.206021E+02,1.426284E-01,1.859984E+03,2.570410E+03
00:50:00,3.556628E-01,1.089331E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.242957E+02,1.383416E-01,1.805084E+03,2.509111E+03
01:00:00,3.570940E-01,1.093327E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.279894E+02,1.341633E-01,1.751479E+03,2.449087E+03
01:10:00,3.581522E-01,1.096282E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.304519E+02,1.305118E-01,1.705398E+03,2.397736E+03
01:20:00,3.590727E-01,1.098851E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.329143E+02,1.271023E-01,1.662209E+03,2.349515E+03
01:30:00,3.599044E-01,1.101174E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.353768E+02,1.238823E-01,1.621282E+03,2.303766E+03
01:40:00,3.606652E-01,1.103298E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.378392E+02,1.208349E-01,1.582417E+03,2.260334E+03
01:50:00,3.613686E-01,1.105261E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.403017E+02,1.179434E-01,1.545414E+03,2.219012E+03
02:00:00,3.620249E-01,1.107094E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.427641E+02,1.151964E-01,1.510138E+03,2.179634E+03
02:10:00,3.625498E-01,1.108559E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.446109E+02,1.126759E-01,1.478183E+03,2.144061E+03
02:20:00,3.630047E-01,1.109829E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.464578E+02,1.102983E-01,1.447934E+03,2.110311E+03
02:30:00,3.634076E-01,1.110954E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.483046E+02,1.080356E-01,1.419058E+03,2.078025E+03
02:40:00,3.637685E-01,1.111962E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.501515E+02,1.058777E-01,1.391434E+03,2.047088E+03
02:50:00,3.640949E-01,1.112873E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.519983E+02,1.038166E-01,1.364967E+03,2.017402E+03
03:00:00,3.643925E-01,1.113704E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.538451E+02,1.018467E-01,1.339588E+03,1.988893E+03
03:10:00,3.646622E-01,1.114457E+04,3.341649E-02,0.000000E+00,0.000000E+00,3.341649E-02,7.556920E+02,9.995404E-02,1.315132E+03,1.961365E+03
