Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/21  13:00:00,5270770.135527451,3343416.5845005065,3343416.5845005065,3343416.5845005065,154285.71428571438,1769051.3333757473 
 02/21  14:00:00,5189862.7478155745,3277253.218523652,3277253.218523652,3277253.218523652,154285.71428571438,1754307.3116407255 
 02/21  15:00:00,5171794.447741655,3272159.2094632606,3272159.2094632606,3272159.2094632606,154285.71428571438,1741333.0206271978 
 02/21  16:00:00,3720234.0687503796,3549357.552769049,3549357.552769049,3549357.552769049,163914.57681449424,0.0 
 02/21  17:00:00,6410993.308184852,4479188.816479392,4479188.816479392,4479188.816479392,166575.36750126237,1750234.1783063966 
 02/21  18:00:00,7574100.332645838,5624286.233621349,5624286.233621349,5624286.233621349,154285.71428571438,1774642.567238266 
 02/21  19:00:00,8218183.5319117885,6045788.3062472865,6045788.3062472865,6045788.3062472865,154285.71428571438,1801892.22187863 
 02/21  20:00:00,8154406.701010086,5971945.160957614,5971945.160957614,5971945.160957614,154285.71428571438,1808915.7306866907 
 02/21  21:00:00,8067041.116600513,5899533.255808762,5899533.255808762,5899533.255808762,154285.71428571438,1793962.0514259674 
 02/21  22:00:00,7525572.180046827,5386254.039457358,5386254.039457358,5386254.039457358,154285.71428571438,1773367.173951143 
 02/21  23:00:00,6355675.529879969,4262786.538241955,4262786.538241955,4262786.538241955,154285.71428571438,1737380.9337499428 
 02/21  24:00:00,3624370.371013305,3276627.552965166,3276627.552965166,3276627.552965166,154285.71428571438,0.0 
 02/22  01:00:00,4510294.309178235,2498479.0097388276,2498479.0097388276,2498479.0097388276,154285.71428571438,1667285.684083655 
 02/22  02:00:00,2632437.8190827733,2287908.203727021,2287908.203727021,2287908.203727021,154285.71428571438,0.0 
 02/22  03:00:00,2562917.0711227204,2218387.455766968,2218387.455766968,2218387.455766968,154285.71428571438,0.0 
 02/22  04:00:00,2511690.419159602,2167160.80380385,2167160.80380385,2167160.80380385,154285.71428571438,0.0 
 02/22  05:00:00,2675805.7520052576,2326991.86639299,2326991.86639299,2326991.86639299,154285.71428571438,0.0 
 02/22  06:00:00,4950682.295464885,2888368.680950925,2888368.680950925,2888368.680950925,154285.71428571438,1706537.7897348562 
 02/22  07:00:00,5422714.985620089,3455726.295687276,3455726.295687276,3455726.295687276,154285.71428571438,1797708.0297492973 
 02/22  08:00:00,5808219.425115606,3804342.957438114,3804342.957438114,3804342.957438114,154285.71428571438,1836202.4088401697 
 02/22  09:00:00,6041580.821421608,3331560.1762823085,3331560.1762823085,3331560.1762823085,154285.71428571438,2549844.0592508786 
 02/22  10:00:00,6263458.925192028,3145052.4172653225,3145052.4172653225,3145052.4172653225,154285.71428571438,2960104.290275509 
 02/22  11:00:00,5162992.981327892,3201316.809840188,3201316.809840188,3201316.809840188,154285.71428571438,1803373.9538365072 
 02/22  12:00:00,5180259.288251821,3245056.7517732778,3245056.7517732778,3245056.7517732778,154285.71428571438,1776900.3188273467 
 02/22  13:00:00,3841565.3087022463,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,485973.692388117 
 02/22  14:00:00,4563343.09733583,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,1261496.8634000265 
 02/22  15:00:00,5577407.117700286,3152610.4832543777,3152610.4832543777,3152610.4832543777,687774.6448021266,1733005.4862783 
 02/22  16:00:00,6152315.465822913,3436226.8211706067,3436226.8211706067,3436226.8211706067,981225.0592883556,1727901.6461971141 
 02/22  17:00:00,5217530.933825915,4368891.063756271,4368891.063756271,4368891.063756271,833644.9241718424,0.0 
 02/22  18:00:00,7928126.663255343,5514884.4344747625,5514884.4344747625,5514884.4344747625,626215.2180711974,1766141.1932088742 
 02/22  19:00:00,8316310.877894397,5936377.747743254,5936377.747743254,5936377.747743254,371438.46448324126,1792277.376167743 
 02/22  20:00:00,8039377.855177087,5860851.394397255,5860851.394397255,5860851.394397255,160801.96590166833,1798464.399798094 
 02/22  21:00:00,7946002.554072109,5788324.826793473,5788324.826793473,5788324.826793473,154285.71428571438,1784131.9179128513 
