Manikin #3.3.34
Interval (sec),30
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. Foot,,,R. Foot,,,L. Low leg,,,R. Low leg,,,L. Thigh,,,R. Thigh,,,Pelvis,,,Head,,,L. Hand,,,R. Hand,,,L. Forearm,,,R. Forearm,,,L. Upper arm,,,R. Upper arm,,,Chest,,,Back,,,Stability,
,(sec),T (degC),P (W/m©÷),Clo (clo),Teq (degC),PMV (%),PPD (degC),SET* (degC),ET* (degC),T (degC),P (W/m©÷),Clo (clo),Teq (degC),PMV (%),PPD (degC),SET* (degC),ET* (degC),T (degC),P (W/m©÷),Clo (clo),Teq (degC),PMV (%),PPD (degC),SET* (degC),ET* (degC),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),T (degC),P (W/m©÷),Clo (clo),,
2/24/2022 11:31:10 AM,30,29.6,118.5,,29.6,,,,,29.4,111.3,,29.4,,,,,0.0,0.0,,0.0,,,,,29.5,104.2,,29.4,104.8,,29.5,113.8,,29.4,115.4,,29.2,121.6,,29.2,121.3,,29.5,126.3,,31.2,104.9,,29.1,115.8,,29.1,115.9,,29.6,109.7,,29.5,111.3,,29.3,120.6,,29.3,120.3,,29.8,124.6,,29.7,126.7,,,
2/24/2022 11:31:40 AM,60,30.1,108.9,,30.1,,,,,30.0,101.5,,30.0,,,,,0.0,0.0,,0.0,,,,,30.0,94.4,,29.9,95.6,,30.0,103.9,,29.9,105.5,,29.8,111.7,,29.8,111.5,,30.0,117.4,,31.7,96.2,,29.6,106.6,,29.6,106.5,,30.1,100.2,,30.0,101.6,,29.8,110.5,,29.8,110.1,,30.3,114.8,,30.2,116.8,,,
2/24/2022 11:32:11 AM,90,30.5,101.0,,30.5,,,,,30.4,93.7,,30.4,,,,,0.0,0.0,,0.0,,,,,30.4,86.2,,30.3,88.5,,30.4,95.7,,30.3,97.7,,30.3,102.7,,30.2,103.3,,30.3,110.6,,32.1,89.5,,30.0,99.7,,30.0,99.1,,30.5,92.2,,30.4,93.8,,30.3,102.1,,30.3,101.9,,30.8,106.4,,30.6,109.0,,,
2/24/2022 11:32:41 AM,120,30.8,94.8,,30.8,,,,,30.7,87.1,,30.7,,,,,0.0,0.0,,0.0,,,,,30.8,79.0,,30.7,82.1,,30.8,89.4,,30.7,90.9,,30.6,95.9,,30.6,96.4,,30.6,105.5,,32.3,85.0,,30.2,95.9,,30.3,94.5,,30.8,86.3,,30.8,87.7,,30.7,94.7,,30.7,94.5,,31.1,99.6,,30.9,102.8,,,
2/24/2022 11:33:12 AM,150,31.1,89.1,,31.1,,,,,31.0,81.4,,31.0,,,,,0.0,0.0,,0.0,,,,,31.1,73.4,,31.0,76.8,,31.1,83.2,,31.0,85.7,,31.0,89.7,,30.9,90.3,,30.9,100.9,,32.5,81.0,,30.5,91.1,,30.6,89.3,,31.2,80.4,,31.1,80.9,,31.0,88.5,,31.1,87.7,,31.4,94.0,,31.3,97.1,,,
2/24/2022 11:33:42 AM,180,31.4,84.5,,31.4,,,,,31.3,76.7,,31.3,,,,,0.0,0.0,,0.0,,,,,31.3,69.9,,31.2,72.9,,31.4,78.5,,31.3,80.0,,31.2,84.6,,31.2,84.5,,31.1,96.7,,32.7,77.5,,30.7,87.1,,30.8,84.7,,31.4,76.2,,31.4,76.7,,31.2,84.5,,31.3,83.2,,31.7,89.4,,31.5,92.6,,,
2/24/2022 11:34:10 AM,210,31.6,81.3,,31.6,,,,,31.4,74.0,,31.4,,,,,0.0,0.0,,0.0,,,,,31.5,66.8,,31.3,70.1,,31.5,75.8,,31.4,77.5,,31.4,81.4,,31.4,81.0,,31.2,94.0,,32.9,74.5,,30.8,84.3,,31.0,81.6,,31.6,72.9,,31.5,73.1,,31.4,81.6,,31.5,78.9,,31.9,85.2,,31.7,88.9,,,
2/24/2022 11:34:40 AM,240,31.8,77.8,,31.8,,,,,31.6,71.0,,31.6,,,,,0.0,0.0,,0.0,,,,,31.7,63.7,,31.5,66.8,,31.6,73.4,,31.6,74.2,,31.6,77.7,,31.6,77.2,,31.4,90.6,,33.0,71.6,,31.0,81.2,,31.2,78.0,,31.7,69.6,,31.7,69.5,,31.6,77.6,,31.7,75.1,,32.1,81.6,,31.9,85.1,,,
2/24/2022 11:35:11 AM,270,31.9,74.5,,31.9,,,,,31.8,67.6,,31.8,,,,,0.0,0.0,,0.0,,,,,31.8,60.8,,31.7,63.7,,31.8,69.5,,31.8,70.8,,31.8,74.1,,31.8,74.0,,31.6,87.3,,33.2,69.1,,31.2,78.0,,31.4,74.6,,31.9,66.2,,31.9,66.7,,31.8,73.9,,31.9,71.7,,32.3,78.2,,32.1,81.2,,,
