Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/01  04:00:00,17159278.19057076,2167160.80380385,2167160.80380385,2167160.80380385,14801873.48569687,0.0 
 02/01  05:00:00,18474443.393854745,2326991.86639299,2326991.86639299,2326991.86639299,15952923.356135199,0.0 
 02/01  06:00:00,21196543.44275625,2888368.680950925,2888368.680950925,2888368.680950925,16401579.822352495,1705104.8289594403 
 02/01  07:00:00,21866575.934535537,3455726.295687276,3455726.295687276,3455726.295687276,16599066.202765655,1796788.4901847974 
 02/01  08:00:00,13099108.608983824,3804342.957438114,3804342.957438114,3804342.957438114,7444660.097443994,1836717.2095501067 
 02/01  09:00:00,12224317.446955757,3331560.1762823085,3331560.1762823085,3331560.1762823085,6263336.0417578565,2623530.357312883 
 02/01  10:00:00,10573792.294981226,3145052.4172653225,3145052.4172653225,3145052.4172653225,4533686.137339276,2891037.237011144 
 02/01  11:00:00,6475869.975961211,3201316.809840188,3201316.809840188,3201316.809840188,1465144.1485375224,1805392.5142180175 
 02/01  12:00:00,5465245.74342937,3245056.7517732778,3245056.7517732778,3245056.7517732778,437047.57528562384,1779124.9130049867 
 02/01  13:00:00,4758856.328294771,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1403264.7119806418 
 02/01  14:00:00,3654656.195103089,3143544.016284607,3143544.016284607,3143544.016284607,154285.71428571438,352809.9611672849 
 02/01  15:00:00,5045349.8750327565,3152610.4832543777,3152610.4832543777,3152610.4832543777,154285.71428571438,1734437.1741271815 
 02/01  16:00:00,5326765.3008063175,3436226.8211706067,3436226.8211706067,3436226.8211706067,154285.71428571438,1729290.8261831603 
 02/01  17:00:00,4538171.723939787,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,0.0 
 02/01  18:00:00,7458614.451329306,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,1768558.48506832 
 02/01  19:00:00,8102336.851828143,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1795456.100299018 
 02/01  20:00:00,9094085.342726033,5860851.394397255,5860851.394397255,5860851.394397255,1212180.1355189641,1801793.717729746 
 02/01  21:00:00,10497468.045426173,5788324.826793473,5788324.826793473,5788324.826793473,2702906.060011271,1786977.063541362 
 02/01  22:00:00,10854493.866849985,5275040.848512863,5275040.848512863,5275040.848512863,3601114.962715969,1766672.8032685434 
 02/01  23:00:00,11807133.008507362,4175767.1653783405,4175767.1653783405,4175767.1653783405,5697280.092284675,1732863.4072419882 
 02/01  24:00:00,10880397.704041688,3228431.3064444675,3228431.3064444675,3228431.3064444675,7458509.293834796,0.0 
 02/02  01:00:00,12910797.688259687,2498479.0097388276,2498479.0097388276,2498479.0097388276,8555387.216214592,1666687.5612362274 
 02/02  02:00:00,12036026.365938926,2287908.203727021,2287908.203727021,2287908.203727021,9557874.261141866,0.0 
 02/02  03:00:00,13397756.193131387,2218387.455766968,2218387.455766968,2218387.455766968,10989124.836294383,0.0 
 02/02  04:00:00,13534589.64745862,2167160.80380385,2167160.80380385,2167160.80380385,11177184.942584727,0.0 
